study_code,study_name,mean,sd,scaled_score_20,scaled_score_25,scaled_score_30,scaled_score_35,scaled_score_40,scaled_score_45,scaled_score_50,category,group
KS,Korean Second Language,36.7,8.4,21,29,36,42,47,51,53,Languages,Language Studies
LA,Latin,45.0,6.4,35,42,46,50,53,54,55,Languages,Language Studies
MA,Macedonian,25.8,8.1,21,27,32,37,42,47,51,Languages,Language Studies
PN,Persian,28.3,7.1,16,20,24,29,34,40,50,Languages,Language Studies
PO,Polish,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
PG,Portuguese,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
LO49,Punjabi,33.1,6.6,22,28,33,39,43,47,50,Languages,Language Studies
RO,Romanian,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
RU,Russian,34.7,7.5,23,29,34,39,44,47,50,Languages,Language Studies
SE,Serbian,31.9,5.1,22,26,31,36,40,45,50,Languages,Language Studies
SI,Sinhala,35.9,6.3,25,30,35,39,43,47,50,Languages,Language Studies
SP,Spanish,35.5,5.8,26,31,35,40,44,47,50,Languages,Language Studies
SW,Swedish,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
TA,Tamil,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
TU,Turkish,30.9,6.1,21,25,29,34,38,43,50,Languages,Language Studies
LO54,Vietnamese First Language,29.3,7.1,19,24,29,35,40,45,50,Languages,Language Studies
LO31,Vietnamese Second Language,36.0,5.4,26,31,36,40,43,47,50,Languages,Language Studies
LO52,Yiddish,,,24,30,35,40,44,48,51,small LOTEs,Language Studies
LS,Legal Studies,28.6,7.6,18,23,28,34,40,45,50,,
LI,Literature,31.0,7.3,20,26,31,36,41,46,50,,English Studies
MA10,Foundation Mathematics,21.6,7.1,12,16,20,26,32,40,50,Mathematics,Mathematics Studies
NF,General Mathematics,27.8,7.1,18,23,28,33,38,44,50,Mathematics,Mathematics Studies
NJ,Mathematical Methods,34.4,8.4,21,28,35,41,46,49,51,Mathematics,Mathematics Studies
NS,Specialist Mathematics,41.5,8.0,29,36,43,48,51,54,55,Mathematics,Mathematics Studies
ME,Media,27.1,7.1,16,21,26,32,38,44,50,,
MD,Music Composition,30.9,6.8,21,26,31,36,41,45,50,Music,Music Studies
MC06,Music Contemporary Performance,27.7,7.3,17,22,27,33,38,44,50,Music,Music Studies
MC05,Music Inquiry,27.8,7.1,18,23,28,33,38,44,50,Music,Music Studies
MC04,Music Repertoire Performance,32.1,6.8,22,27,32,37,42,46,50,Music,Music Studies
OS,Outdoor and Environmental Studies,25.2,6.8,15,20,24,30,36,42,50,,
PL,Philosophy,29.5,7.3,19,24,29,35,40,45,50,,
PE,Physical Education,27.6,7.3,17,22,27,33,38,44,50,,
PH,Physics,31.7,7.5,20,26,32,37,42,47,50,,
PS03,Australian Politics,32.2,7.2,21,27,32,37,42,47,50,Politics,
PS05,Global Politics,32,7.3,21,27,32,37,42,47,50,Politics,
DT,Product Design and Technology,24.9,7.3,13,18,23,29,36,43,50,,
PY,Psychology,28.4,7.4,18,23,28,34,39,45,50,,
RS,Religion and Society,28.6,7.2,18,23,28,34,39,45,50,,
SO03,Sociology,26.1,7.7,15,20,25,31,38,44,50,,Contemporary Society Studies
SE03,Systems Engineering,27.4,6.8,17,21,26,32,37,43,50,,
TT,Texts and Traditions,27.8,7.1,17,22,27,32,37,43,50,,
TS,Theatre Studies,28.7,7.3,18,23,28,34,39,45,50,,
VC,Visual Communication Design,27.2,7.0,16,21,26,32,38,44,50,,
BU23,VCE VET Business,24.3,7.0,14,19,23,28,34,41,50,VCE VET,VET industry areas
CT41,VCE VET Community Services,24.8,7.1,15,19,24,30,35,42,50,VCE VET,VET industry areas
MU07,VCE VET Creative and Digital Media,26.4,6.8,17,21,26,30,36,42,50,VCE VET,VET industry areas
DN17,VCE VET Dance,28.9,5.6,20,24,28,32,36,41,50,VCE VET,VET industry areas
EG16,VCE VET Engineering Studies,25.6,6.5,16,20,24,29,35,41,50,VCE VET,VET industry areas
EQ08,VCE VET Equine Studies,27.6,7.1,15,20,26,32,38,44,50,VCE VET,VET industry areas
FN19,VCE VET Furnishing,23.3,5.1,18,22,26,30,35,40,50,VCE VET,VET industry areas
CT37,VCE VET Health Services,25.6,7.2,15,20,25,30,36,42,50,VCE VET,VET industry areas
HS31,VCE VET Hospitality,24.5,7.1,15,19,24,29,35,42,50,VCE VET,VET industry areas
HS32,VCE VET Hospitality (Kitchen Operations),24.6,6.6,14,19,23,29,35,42,50,VCE VET,VET industry areas
IN60,VCE VET Information Technology,25.6,6.8,16,20,25,30,36,42,50,VCE VET,VET industry areas
ET16,VCE VET Integrated Technologies,30.0,7.0,20,25,30,35,40,45,50,VCE VET,VET industry areas
LB21,VCE VET Laboratory Skills,29.6,6.1,20,25,30,34,39,44,50,VCE VET,VET industry areas
MI19,VCE VET Music Performance,26.7,6.8,19,22,26,30,35,41,50,VCE VET,VET industry areas
MI30,VCE VET Music Sound Production,27.5,6.7,18,22,27,32,38,43,50,VCE VET,VET industry areas
SR41,VCE VET Sport and Recreation,23.9,6.7,15,19,23,28,34,41,50,VCE VET,VET industry areas
PS06,Politics,32.0,7.1,21,27,32,37,42,46,50,,
DT,Product Design and Technologies,25.3,6.8,14,19,24,29,36,42,50,,
EG47,VCE VET Engineering,24.9,6.2,17,21,25,29,34,40,50,,
HL08,VCE VET Health (Allied),26.2,7.4,15,20,25,30,36,43,50,,
HL06,VCE VET Health Services Assistance,22.4,6.8,14,20,25,32,38,45,50,,
HS65,VCE VET Hospitality (Cookery),23.5,7.0,14,18,23,28,34,41,50,,
